hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
עַל־,H5921,‘al-,at,Prep,H5921,Obadiah,1,157
הַפֶּ֔רֶק,H6563,"hap·pe·req,",the crossroads,Art | N‑ms,H6563,Obadiah,1,158
לְהַכְרִ֖ית,H3772,lə·haḵ·rîṯ,to cut off,Prep‑l | V‑Hifil‑Inf,H3772,Obadiah,1,159
אֶת־,H853,’eṯ-,-,DirObjM,H853,Obadiah,1,160
פְּלִיטָ֑יו,H6412,pə·lî·ṭāw;,those among them who escaped,Adj‑mpc | 3ms,H6412,Obadiah,1,161
וְאַל־,H408,wə·’al-,nor,Conj‑w | Adv,H408,Obadiah,1,162
תַּסְגֵּ֥ר,H5462,tas·gêr,should you have delivered up,V‑Hifil‑Imperf.Jus‑2ms,H5462,Obadiah,1,163
שְׂרִידָ֖יו,H8300,śə·rî·ḏāw,those among them who remained,N‑mpc | 3ms,H8300,Obadiah,1,164
בְּי֥וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,165
צָרָֽה׃,H6869,ṣā·rāh.,of distress,N‑fs,H6869,Obadiah,1,166
קָר֥וֹב,H7138,qā·rō·wḇ,[is] near,Adj‑ms,H7138,Obadiah,1,167
יוֹם־,H3117,yō·wm-,the day,N‑msc,H3117,Obadiah,1,168
יְהוָ֖ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Obadiah,1,169
עַל־,H5921,‘al-,upon,Prep,H5921,Obadiah,1,170
כָּל־,H3605,kāl-,all,N‑msc,H3605,Obadiah,1,171
הַגּוֹיִ֑ם,H1471,hag·gō·w·yim;,the nations,Art | N‑mp,H1471,Obadiah,1,172
כַּאֲשֶׁ֤ר,H834,ka·’ă·šer,As,Prep‑k | Pro‑r,H834,Obadiah,1,173
עָשִׂ֙יתָ֙,H6213,‘ā·śî·ṯā,you have done,V‑Qal‑Perf‑2ms,H6213,Obadiah,1,174
