hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
שַׂ֭גִּיא,H7689,gî,great,Adj‑ms,H7689,Job,36,5921,32
לְאֵדֽוֹ׃,H108,lə·’ê·ḏōw.,from the mist,Prep‑l | N‑msc | 3ms,H108,Job,36,5933,32
מִפְרְשֵׂי־,H4666,mip̄·rə·śê-,the spreading,N‑mpc,H4666,Job,36,5942,32
לְמַכְבִּֽיר׃,H4342,lə·maḵ·bîr.,in abundance,Prep‑l | V‑Hifil‑Prtcpl‑ms,H4342,Job,36,5956,32
וְ֝הֶ֗גֶה,H1899,"wə·he·ḡeh,",and the rumbling,Conj‑w | N‑ms,H1899,Job,37,5977,32
אָ֑רֶב,H695,’ā·reḇ;,dens,N‑ms,H695,Job,37,6022,32
וּֽמִמְּזָרִ֥ים,H4215,ū·mim·mə·zā·rîm,and from the scattering winds [of the north],"Conj‑w, Prep‑m | N‑mp",H4215,Job,37,6028,32
בְּ֭רִי,H7377,bə·rî,with moisture,Prep | N‑ms,H7377,Job,37,6036,32
יַטְרִ֣יחַ,H2959,yaṭ·rî·aḥ,He saturates,V‑Hifil‑Imperf‑3ms,H2959,Job,37,6037,32
מִפְלְשֵׂי־,H4657,mip̄·lə·śê-,are balanced,N‑mpc,H4657,Job,37,6072,32
מִ֝פְלְא֗וֹת,H4652,"mip̄·lə·’ō·wṯ,",Those wondrous works,N‑fpc,H4652,Job,37,6074,32
כִּרְאִ֥י,H7209,kir·’î,as a mirror,Prep‑k | N‑ms,H7209,Job,37,6085,32
בָּהִ֣יר,H925,bā·hîr,bright,Adj‑ms,H925,Job,37,6103,32
מְ֭מַדֶּיהָ,H4461,mə·mad·de·hā,its measurements,N‑mpc | 3fs,H4461,Job,38,6155,32
חֲתֻלָּתֽוֹ׃,H2854,ḥă·ṯul·lā·ṯōw.,its swaddling band,N‑fsc | 3ms,H2854,Job,38,6186,32
