Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἐν,in,Prep,G1722,Titus 3,366
κακίᾳ,malice,N-DFS,G2549,Titus 3,367
φθόνῳ,envy,N-DMS,G5355,Titus 3,368
διάγοντες,living,V-PPA-NMP,G1236,Titus 3,369
στυγητοί,hateful,Adj-NMP,G4767,Titus 3,370
μισοῦντες,hating,V-PPA-NMP,G3404,Titus 3,371
ἀλλήλους,one another,RecPro-AMP,G240,Titus 3,372
Ὅτε,When,Adv,G3753,Titus 3,373
δὲ,however,Conj,G1161,Titus 3,374
ἡ,the,Art-NFS,G3588,Titus 3,375
χρηστότης,kindness,N-NFS,G5544,Titus 3,376
φιλανθρωπία,love of mankind,N-NFS,G5363,Titus 3,377
ἐπεφάνη,appeared,V-AIP-3S,G2014,Titus 3,378
τοῦ,of the,Art-GMS,G3588,Titus 3,379
Σωτῆρος,Savior,N-GMS,G4990,Titus 3,380
ἡμῶν,of us,PPro-G1P,G1473,Titus 3,381
Θεοῦ,God,N-GMS,G2316,Titus 3,382
οὐκ,not,Adv,G3756,Titus 3,383
ἐξ,by,Prep,G1537,Titus 3,384
ἔργων,works,N-GNP,G2041,Titus 3,385
τῶν,-,Art-GNP,G3588,Titus 3,386
δικαιοσύνῃ,righteousness,N-DFS,G1343,Titus 3,387
ἃ,that,RelPro-ANP,G3739,Titus 3,388
ἐποιήσαμεν,did,V-AIA-1P,G4160,Titus 3,389
ἀλλὰ,but,Conj,G235,Titus 3,390
κατὰ,according to,Prep,G2596,Titus 3,391
τὸ,-,Art-ANS,G3588,Titus 3,392
αὐτοῦ,His,PPro-GM3S,G846,Titus 3,393
ἔλεος,mercy,N-ANS,G1656,Titus 3,394
ἔσωσεν,He saved,V-AIA-3S,G4982,Titus 3,395
ἡμᾶς,us,PPro-A1P,G1473,Titus 3,396
διὰ,through,Prep,G1223,Titus 3,397
λουτροῦ,the washing,N-GNS,G3067,Titus 3,398
παλινγενεσίας,of regeneration,N-GFS,G3824,Titus 3,399
ἀνακαινώσεως,renewing,N-GFS,G342,Titus 3,400
Πνεύματος,of the Spirit,N-GNS,G4151,Titus 3,401
Ἁγίου,Holy,Adj-GNS,G40,Titus 3,402
οὗ,whom,RelPro-GNS,G3739,Titus 3,403
ἐξέχεεν,He poured out,V-AIA-3S,G1632,Titus 3,404
ἐφ,on,Prep,G1909,Titus 3,405
πλουσίως,richly,Adv,G4146,Titus 3,406
Ἰησοῦ,Jesus,N-GMS,G2424,Titus 3,407
Χριστοῦ,Christ,N-GMS,G5547,Titus 3,408
ἵνα,so that,Conj,G2443,Titus 3,409
δικαιωθέντες,having been justified,V-APP-NMP,G1344,Titus 3,410
τῇ,-,Art-DFS,G3588,Titus 3,411
ἐκείνου,by that,DPro-GMS,G1565,Titus 3,412
