Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἔκτισας,created,V-AIA-2S,G2936,Revelation 4,398
θέλημά,will,N-ANS,G2307,Revelation 4,399
κατεσφραγισμένον,having been sealed,V-RPM/P-ANS,G2696,Revelation 5,400
σφραγῖσιν,with seals,N-DFP,G4973,Revelation 5,401
ἰσχυρὸν,strong,Adj-AMS,G2478,Revelation 5,402
κηρύσσοντα,proclaiming,V-PPA-AMS,G2784,Revelation 5,403
οὐδὲ,nor,Conj,G3761,Revelation 5,404
ὑποκάτω,under,Prep,G5270,Revelation 5,405
ἔκλαιον,was weeping,V-IIA-1S,G2799,Revelation 5,406
Ἰούδα,of Judah,N-GMS,G2448,Revelation 5,407
Ῥίζα,root,N-NFS,G4491,Revelation 5,408
Ἀρνίον,a Lamb,N-NNS,G721,Revelation 5,409
ἐσφαγμένον,having been slain,V-RPM/P-NNS,G4969,Revelation 5,410
κέρατα,horns,N-ANP,G2768,Revelation 5,411
κιθάραν,a harp,N-AFS,G2788,Revelation 5,412
φιάλας,bowls,N-AFP,G5357,Revelation 5,413
θυμιαμάτων,of incenses,N-GNP,G2368,Revelation 5,414
προσευχαὶ,prayers,N-NFP,G4335,Revelation 5,415
ᾄδουσιν,they are singing,V-PIA-3P,G103,Revelation 5,416
ᾠδὴν,a song,N-AFS,G5603,Revelation 5,417
γλώσσης,tongue,N-GFS,G1100,Revelation 5,418
λαοῦ,people,N-GMS,G2992,Revelation 5,419
βασιλεύσουσιν,they will reign,V-FIA-3P,G936,Revelation 5,420
ἀριθμὸς,number,N-NMS,G706,Revelation 5,421
μυριάδες,myriads,N-NFP,G3461,Revelation 5,422
χιλιάδες,thousands,N-NFP,G5505,Revelation 5,423
πλοῦτον,riches,N-AMS,G4149,Revelation 5,424
σοφίαν,wisdom,N-AFS,G4678,Revelation 5,425
ἰσχὺν,strength,N-AFS,G2479,Revelation 5,426
εὐλογίαν,blessing,N-AFS,G2129,Revelation 5,427
κτίσμα,creature,N-ANS,G2938,Revelation 5,428
ἔλεγον,kept saying,V-IIA-3P,G2036,Revelation 5,429
ἵππος,a horse,N-NMS,G2462,Revelation 6,430
τόξον,a bow,N-ANS,G5115,Revelation 6,431
πυρρός,bright red,Adj-NMS,G4450,Revelation 6,432
ἀλλήλους,one another,RecPro-AMP,G240,Revelation 6,433
μάχαιρα,a sword,N-NFS,G3162,Revelation 6,434
μέλας,black,Adj-NMS,G3189,Revelation 6,435
ζυγὸν,a pair of scales,N-AMS,G2218,Revelation 6,436
Χοῖνιξ,A choenix,N-NFS,G5518,Revelation 6,437
σίτου,of wheat,N-GMS,G4621,Revelation 6,438
